ship_date,ship_name,passenger_list
1891-02-08,Mohammed Ali,"{""passengers"":[""Hr. von Arthaber"",""Frau von Arthaber"",""Hr. Lieut. Weigl"",""Frau Glaesel"",""Hr. Andrea"",""Hr. Bab"",""Beschorner"",""von Lenz"",""Dr. Base"",""Bullmann"",""A. Brünner"",""Dr. Bunzel"",""Cohn"",""Cohn Jr. Stud. phil."",""Th. Mayer"",""Dr. von Frad"",""Fraulein von Frad， Frau von Háasz-Grünenwaldt， Herbst， Hr. Hoffmann"",""Reg.-Ratb von Hornbostel， Jungmann， Frau Jungmann， Frau von Kleinmayrn"",""Hr. von Poche"",""Hr. Kaiserl. Rath Kupka"",""Kurz"",""Langer"",""Frau Langer"",""Hr. E. Müller"",""R. Mayr"",""von Mertens"",""Thomke"",""Dr. Neustadtl"",""Dr. jur. Pokorny"",""Gen.-Maj. von Pokorny"",""Frau Reinlein von Marienburg"",""Fraulein Reinlein von Marienburg"",""Frau Roelofs Walrave"",""Hr. Dr. Rohrer"",""Samuel"",""Frau Samuel"",""Fraulein Jacobs"",""Pater Schachinger"",""Fraulein von Scheibner"",""Hr. Seidl"",""Dr. Waterhouse"",""Frau Waterhouse""]}"
1891-02-10,Rameses,"{""passengers"":[""Manservant"",""Mr. T. H. Mc Connell"",""Mrs. T. H. Mc Connell"",""Miss. L. Mc Connell"",""Miss. L. Mc Connell"",""Maid"",""Mr. G. W. Taylor"",""Miss Routh"",""Mr. A. Buckley"",""Mrs. A. Buckley"",""Master Buckley"",""Mr. J. Reid"",""Mrs. J. Reid"",""Mrs. E. J. Ellis de Vesian"",""Mrs. S. J. Lord"",""Mr. G. W. Merritt"",""Mr. E. Merritt"",""Lt Gen Nugent"",""Col. Nugent"",""Mrs. Nugent"",""Mr. Van Kirk"",""Mrs. Van Kirk"",""Mr. C. A. Spencer"",""Mrs. C. A. Spencer"",""Mr. F. Fox"",""Mrs. F. Fox"",""Mr. H. J. Turner"",""Mrs. H. J. Turner"",""Miss Turner"",""Miss F. Turner"",""Mr. Wells"",""Mr. H. K. Ogilvy"",""Dr. Rüsso"",""Mr. D. Erskine"",""Mr. H. Hawkins"",""Mrs. H. Hawkins"",""Mr. M. Cartwright"",""Mr. W. C. Jackson"",""Mr. J. A. Bostwick"",""Mrs. J. A. Bostwick"",""Miss T. E. Bostwick"",""Mr. A. C. Bostwick"",""Miss Hilpert"",""Mr. E. de Lille"",""Mr. Johnstone"",""Mrs. Johnstone"",""Friend"",""Mr. H. A. Johnstone"",""Mr. W. A. Johnstone"",""Manservant"",""Miss Armitage"",""Mr. Summers"",""Miss Fox"",""Mr. F. Fowler"",""Mr. Kendall"",""Mr. Latham"",""Mr. Fraser"",""Mr. Tomkins"",""Mrs. Tomkins"",""Mr. Pavitt"",""Mr. Binder"",""Mr. Amsinck"",""Mrs. Amsinck"",""Courier"",""Mr. Eichborn"",""Mr. John von Freyend"",""Mr. Massicot"",""Mr. Hamburger"",""Mr. Schlossman"",""Mr. Brunet"",""Mr. Creasy"",""Mr. Robinson""]}"
1891-02-14,Nefertari,"{""passengers"":[""Mr. Stangen"",""Mr. Ehret"",""Miss Ehret"",""Miss Ehret"",""Miss Kullak"",""Mr. Gottheil"",""Mr. Kruegal"",""Mr. Lohmann"",""Mr. Schulz"",""Mr. Zietemann"",""Hon. Mrs. H. Campbell"",""Miss Campbell"",""Maid"",""Miss Chetwode"",""Maid"",""Mrs. Bancroft"",""Miss B. Bancroft"",""Miss A. Bancroft"",""Mr. H. Miller"",""Mr. Edwards"",""Mrs. Edwards"",""Mr. J. A. Penfield"",""Mrs. Penfield"",""Miss A. Penfield"",""Mrs. Stewart"",""Miss Wallace"",""Miss Wallace"",""Mr. G. C. Crocker"",""Mrs. T. W. Crocker"",""Master Crocker"",""Dr. Koch"",""Dr. Kartulis""]}"
1891-02-17,Prince Abbas,"{""passengers"":[""Mr. C. P. Nicholls"",""Mrs. C. P. Nicholls"",""Mr. S. Edwards"",""Mrs. S. Edwards"",""Maid"",""Mr. Gavaty"",""Mr. P. Legrand"",""Sir John Lennard"",""Lady Lennard"",""Rev. W. P. Robinson"",""Rev. A. K. Parker"",""Rev. W. C. P. Rhodes"",""Mr. G. S. Williams"",""Mr. Jackson"",""Mr. Jackson Jr."",""Frau Dr. Heidfeld"",""Baroness von Ravenstein"",""Mr. Degousee"",""Mrs. DegouSee"",""Mr. Ferguson"",""Mrs. Ferguson"",""Miss E. Fletcher"",""Miss Clarke"",""Mr. Ker"",""Mrs. Ker"",""Mr. Stathatos"",""Mrs. Stathatos"",""Mr. Block"",""Mr. Goldschmid"",""Mr. Colville"",""Count Crenneville"",""Mr. John Speck"",""Mr. A. C. Allan"",""Mrs. A. C. Allan"",""Mr. Jaroschinsky"",""Mrs. Wells"",""Miss M. Deming"",""Miss E. Deming"",""Miss E. Sperry"",""Miss E. Smith"",""Mr. H. Forrester"",""Rev. C. Hare"",""Mr. A. T. Wood"",""Capt. Philips"",""Mrs. Philips"",""Maid"",""Mr. W. L. Palmer"",""Mrs. W. L. Palmer"",""Mr. T. Purdy"",""Mr. Van Voigt"",""Mrs. Van Voigt"",""Dr. Korn"",""Hon. Miss Colborne"",""M. Bocca"",""M. Mazzoni""]}"
1891-02-21,Cleopatra,"{""passengers"":[""Mr. Peel"",""Mrs. Peel"",""Mr. C. Thornhill"",""Mr. T. H. Bush"",""Mrs. Bush"",""Miss F. H. Aspinal"",""Miss A. White"",""Mr. Germacott"",""Mr. Hoare"",""Mrs. Hoare"",""Mr. L. A. Hayes"",""Mr. H. Spicer"",""Mrs. Spicer"",""Mrs. Ferguson"",""Mrs. Zeile"",""Miss Zeile"",""Mr. Zeile jun."",""Sir Charles Cookson"",""Miss Cookson"",""Hugo Prince von Schonberg Waldenburg"",""Princess von Schonberg Waldenburg"",""Maid"",""Mr. von Herder"",""Miss von Herder"",""Miss von Herder"",""Miss Altersay""]}"
1891-02-28,Hatasoo,"{""passengers"":[""Mr. Frankenburg"",""Mr. Gruneck"",""Mr. Mader"",""Mr. Mereghi"",""Mr. Grant"",""Mr. Sain Arrigo"",""Mr. Schwabacher"",""Mrs. Schwabacber"",""Mr. H. Schwabacher"",""Mr. F. Dresser"",""Mr. Bolston"",""Mrs. Bolston"",""Mr. Tayleur"",""Comte Haugwitz"",""Comtess Haugwitz"",""Graf Platen"",""Herr von Nimptsch"",""Mr. Wells"",""Mrs. Wells"",""Mr. Riley"",""Mr. Marriott"",""Mr. Kruger"",""Mr. C. B. Sumner"",""Mrs. Sumner"",""Miss Sumner"",""Miss Wheden"",""Mr. Geo. Sumner""]}"
1891-03-10,Prince Abbas,"{""passengers"":[""Mr. P. Gilchrist"",""Mrs. Gilchrist"",""Master Gilchrist"",""Mrs. G. E. Scott"",""Mrs. S. C. Thompson"",""Mr. F. S. Thompson"",""Mr. R. Chamberlain"",""M P."",""Mrs. Chamberlain"",""Major Gen. Cunliffe"",""Mr. Francis. A. Culver"",""Mrs. Culver"",""Mr. H. O. Culver jun."",""Rev. Kettridge Wheeler"",""Mrs. A. J. Bulkley"",""Miss E. L. Jones"",""Mrs. Barnum"",""Mr. Jos√© de Arellano"",""Mr. R. de Uhagon"",""Rev. C. Obenshain"",""Mr. Slater"",""Mrs. Slater"",""Mr. Fairchild"",""Mrs. Fairchild"",""Mr. Davenport"",""Mrs. Davenport"",""Mr. B. E. Girling"",""Rev. W. H. Rayburn"",""Mrs. Rayburn"",""Major MartynFenwick"",""Mrs. Fenwick"",""Mr. Carstensen""]}"
1891-03-11,Prince Abbas,"{""passengers"":[""Mr. W. R. H. Valentine"",""Mr. J. B. Meredith"",""Miss E. M. Meredith"",""Mr. Ogden"",""Mr. Hamersley"",""Mr. Syme"",""Mrs. Syme"",""Mr. Mc Ewen"",""Mr. Black"",""Mrs. Black"",""Miss Black"",""Miss Black"",""Mr. Sands"",""Mr. J. S. Crook"",""Mr. Large"",""Mr. P. de Zubiri"",""Mr. J. de Urcola 19. Mrs. Le Sage""]}"
1891-11-17,Rameses The Great,"{""passengers"":[""Dr. N. J. Jerman"",""Mrs. N. J. Jerman"",""Sir Henry Holford"",""Lady Holford"",""Miss Bagshaw"",""Mrs. Heygate"",""Hon. Mrs. Freemantle"",""Mr. H. R. Merrill"",""Mrs. H. R. Merrill"",""Rev. F. S. Cookman"",""Mrs. Cookman"",""Mr. Mathews"",""Mr. Richardson"",""Mr. Letchworth"",""Mr. C. T. Heap"",""Mr. R. T. Heap"",""Mr. Johnson"",""Mrs. Johnson"",""Miss F. M. Hornby"",""Miss Hornby"",""Miss E. A. Hornby"",""Miss M. S. Donnell"",""Miss A. Donnell"",""Miss F. G. Donnell"",""Miss Henty"",""Miss Mathews"",""Mr. B. F. Brown"",""Mrs. Brown"",""Mrs. Madden"",""Rev. Cauldwell"",""Rev. Dr. Booth"",""Mr. J. Leather"",""Mrs. J. Leather"",""Miss Chaplin"",""Mr. Stern"",""Mr. F. H. Deverell"",""Mr. Fortsmann"",""Mr. J. H. Metcalfe"",""Mrs. J. H. Metcalfe"",""Mr. A. P. Marsh"",""Lieut. Wend"",""Mrs. Mc Cready"",""Mrs. W. W. Robbins"",""Maid"",""Courier"",""General Forestier-Walker"",""Mrs. Forestier-Walker"",""Miss Forestier-Walker"",""Capt. Guilding"",""Lieut. Manners"",""Lieut. Lee"",""Mr. H. T. Howse""]}"
1891-11-21,Cleopatra,"{""passengers"":[""Major Kinder"",""Mrs. Kinder"",""Mrs. Chester"",""Capt. W. B. Lafone"",""Capt. R. H. Kirkwood"",""Capt. A.. G. Spratt"",""Col. Gore-Booth"",""Mrs. Gore-Booth"",""Miss Gore-Booth"",""Miss Gore-Booth"",""Miss Parker"",""Miss Digby"",""Miss Skirrow"",""Mons. de St. Andre"",""Mons. de Courtois"",""Miss Digby"",""Mons. Faivre"",""Mr. Alfonso Bossi"",""Mr. Eugène Corda"",""Mr. Signori"",""Prof. Mayer Eymar"",""Mr. Mortimer Harris""]}"
1891-12-01,Rameses,"{""passengers"":[""Mr. W. Richardson"",""Mr. A. L. Payne"",""Mrs. Payne"",""Mr. J. W. Pearsons"",""Mr. Hope Edwards"",""Mrs. Hope Edwards"",""Maid"",""Mr. H. J. H√ºttner"",""Mr. G. Watt"",""Mr. A. Neilson"",""Mr. H. Henry"",""Mrs. Hubbard"",""Miss Hubbard"",""Miss Hubbard"",""Mr. Cronise"",""Mrs. Snow"",""Mr. Lopes"",""Lady Lopes"",""Marchese d'Adda"",""Marchesa d‚ÄôAdda"",""Maid"",""Mr. A. Mangles"",""Mr. Fountain Elwin"",""Mrs. Fountain Elwin"",""Sir Chas. Tennant"",""Lady Tennant"",""Maid"",""Miss Tennant"",""Maid"",""Courier"",""Mr. F. J. Allen"",""Mr. Pam"",""Mrs. Pam"",""Miss Pam"",""Miss Pam"",""Maid"",""Mons. Demarcay"",""Madame Demarcay""]}"
1891-12-19,Cleopatra,"{""passengers"":[""Rev C. Hook"",""Mrs. Hook"",""Miss Stephens"",""Sir H. Warre"",""Lady Warre"",""Maid"",""Rev. Reid"",""Mrs. Reid"",""Miss Lloyd"",""Mr. W. H. Patton"",""Doctor Mason"",""M. Boussac"",""Mr. Halbronn"",""Mr. Warner"",""Mr. Dervish""]}"
1891-12-30,Sethi,"{""passengers"":[""Mr. G. M. Waterhouse"",""Mrs. Waterhouse"",""Mr. E. Soutter"",""Miss Whidborne"",""Miss Whidborne"",""H.E.Gen.Chevky Pasha"",""Mr. Gabriel Dufour"",""Mrs. Gabriel Dufour"",""Mr. C. Gray"",""Mrs. C. Gray"",""Mr. M. Schwitzguebel"",""Miss. Ringer"",""Miss M. Ringer""]}"
1892-01-02,Hatasoo,"{""passengers"":[""Rev. G. H. W. L. Ross"",""Doctor Alison"",""Mrs. Alison"",""Mrs. Mc George"",""Miss Armstrong"",""Mr. Jackson"",""Mrs. Jackson"",""Mr. Hamiel"",""Mr. Liebrecht"",""Mr. Stoddard"",""Mrs. Stoddard"",""Mr. Herbst"",""Mr. Driesch"",""Mr. Mylius"",""Mr. Bouriant"",""P√®re Vincent Scheil"",""Mr. A. Sidney White"",""Doctor Rothe"",""Mr. A. J. Boyd"",""Mr. Hoth"",""Mr. Meyer"",""Mr. Lindesfils"",""Doctor J. Davies"",""Mr. A. Lehmann"",""Doctor Teissier"",""Mr. Eilhard Mitscherlich"",""Mr. F. A. Gray""]}"
1892-01-05,Mohammed Ali,"{""passengers"":[""Miss Lindsay"",""Miss Savile"",""Mr. H. Wakeman"",""Major Swinfin Broun"",""Mrs. Swindn Broun"",""Mr. Milne"",""Madame Wynne"",""Mr. Wynne"",""Maid"",""Judge Casey"",""Miss Langmore"",""Mrs. W. H. Stevens"",""Master Stevens"",""Miss M. Stevens"",""Mrs. M. Hyde"",""Mr. C. Unger"",""Mrs. C. Unger"",""Miss C. Unger"",""Miss J. Caesar"",""Prof. W. Joest"",""Mrs. W. Joest"",""Major L. Chase"",""Mrs. L. Chase"",""Miss Cullen"",""Mr. Bentley"",""Mrs. Bensley"",""Mr. Heydweiller"",""Mrs Heydweiller"",""Miss M. E. Green"",""Mrs. G. Hoffmann"",""Miss G. Hoffmann"",""Mr. J. E. Hoffmann"",""Mr. J. E. Guiball"",""Mrs. Beaumont"",""Miss Beaumont"",""Miss Hanson"",""Miss Farrer"",""Capt. E. D. Law R. N.""]}"
1892-01-12,Rameses The Great,"{""passengers"":[""Dr. Wollheim"",""Lady Pearson"",""Mr. C. M. Pearson"",""Mr. E. H. Hutchinson"",""Mrs. Hutchinson"",""Miss Hutchinson"",""Miss Hutchinson"",""Mrs. Carroll"",""Mr. Squires"",""Mrs. Squires"",""Mr. F. Pelton"",""Mrs. Pelton"",""Mr. King"",""Mrs. King"",""Mr. J. L. Coulson"",""Mrs. Coulson"",""Mr. Coulson. Junr"",""Mr. G. L. Harrison"",""Mrs. Harrison"",""Mrs. R. Toland"",""Mr. F. Romadge"",""Mrs. Grant"",""Miss Taylor"",""Mrs. Macfarren"",""Miss Macfarren"",""Mrs. Edgar"",""Miss E. M. Edgar"",""Miss M. Y. Brayton"",""Mr. Pelletier"",""Miss M. S. Burkam"",""Miss C. Burkam"",""Mr. F. F . Perrott"",""Mrs. Perrott"",""Mrs. T. Lowe"",""Count Dietz Monin"",""Countess Dietz Monin"",""Mademoiselle Dietz Monin"",""Mr. Purgold"",""Mrs. Purgold"",""Mr. Figdon"",""Mr. C. Keir Mackintosh"",""Mrs. Mackintosh"",""Mr. G. O. C. Lawrence"",""Mrs. Lawrence"",""Mrs. Cooke"",""Miss Margetson"",""Major Roberts"",""Mrs. Roberts"",""Maid"",""Mr. E. M. Thresher"",""Mrs. Thresher"",""Mr. A. A. Thresher"",""Mad. la Marquise de St.-Paul"",""Mad. la Marquise de Bron"",""M. de Gilon"",""Mrs. Platt"",""Mrs. Dickey"",""Mr. E. Clayton"",""Mrs. D. L. Moody"",""Miss E. R. Moody"",""Mr. W. R. Moody"",""Master Paul Moody"",""Mr. Pepper"",""Mrs. Pepper"",""Maid"",""Mr. D. B Safford"",""Mrs. Safford"",""Madame Magda Horn"",""Mad. la Baronne von Seckendorff"",""Herr Doctor Ritter von Fritsch"",""Mr. Frank Vincent"",""Mr. H. O. Houghton"",""Miss Houghton"",""Miss Houghton"",""Miss Houghton"",""Mr. W. M. Marshall""]}"
1892-01-16,Cleopatra,"{""passengers"":[""Mr. Harleston Deacon"",""Mr. J. H. Livingston"",""Mrs. Livingston"",""Miss K. L. Livingston"",""Miss Hutchinson"",""Mrs. J. Edwards"",""Miss Edwards"",""Miss Brady"",""Miss Fane"",""Mrs. A. Hurlburt"",""Mr. Leadham"",""Lady Macgregor"",""Miss Blythe"",""Mrs. Vaughan Lee"",""Courier"",""Miss Vaughan Lee"",""Miss Vaughan Lee"",""Mrs. Twemlow"",""Maid"",""Miss Creyke"",""Miss Harvey"",""Mons. Regnault"",""Madame Regnault"",""Mr. Hamilton"",""Mr. Ross"",""Miss Mitchell"",""Miss Byron"",""Major Wissmann"",""Dr. Bumuller"",""Herr von Schuckmann"",""Mr. Delany"",""Mrs. Delany""]}"
1892-01-19,Rameses,"{""passengers"":[""Mr. Steel"",""Mrs. Steel"",""Dr. Knears"",""Mr. J. B. R. Monk"",""Mr. F. B. Sinton"",""Mr. Byrne"",""Mrs. Byrne"",""Mr. J. Clegg"",""Mrs. Clegg"",""Miss Clegg"",""Miss Clegg"",""Mr. J. C. Brown"",""Mrs. Brown"",""Mrs. Myers"",""Miss Banner"",""Mr. T. Bastert"",""Mr. S. Cutler"",""Miss Cutler"",""Mr. J. L. Reese"",""Mr. W. H. Reese"",""Miss M. Reese"",""Miss L. Reese"",""Mr. G. W. Watjen"",""Mrs. Watjen"",""Mr. A. P. Heinze"",""Mrs. Heinze"",""Miss Herzner"",""Mr. J. P. Lord"",""Mr. A. H. Lord"",""Marquis di Porcinari"",""Duca di Eboli Doria"",""Marchese E. Doria"",""Mr. Ladenburg"",""Mrs. Ladenburg"",""Mr. Ladenburg Junior"",""Maid"",""Mr. Stucken"",""Mr. J. F. Bass"",""Mr. Bass"",""Mr. Traill"",""Mrs. Traill"",""Mr. Holliday"",""Mr. H. R. Cross"",""Mr. Lieutaud"",""Mrs. Lieutaud"",""Mrs. R. M. Davis"",""Miss J. Davis"",""Major General Goodfellow R.N."",""Mrs. Goodfellow"",""Mr. Hadfield"",""Mrs. Hadfield"",""Madame Millioz"",""Mons. Matton"",""Herr Prof. Dr. F. Albert"",""Madame Albert"",""Mr. J. Hartree"",""Mr. W. H. Watson"",""Mrs. Watson"",""Miss Williams"",""Mademoiselle. Schemionek"",""Mr. Mortimer Harris"",""Mr. Snowden""]}"
1892-01-26,Mohammed Ali,"{""passengers"":[""Mr. D. H. James"",""Mrs. D. H. James"",""Rev. Dr. Cross"",""Mr. J. L. Edwards"",""Mr. Colgate"",""Mrs. Colgate"",""Miss. Smith"",""Child"",""Governess"",""Miss. H. M. Crosfield"",""Miss. C. J. Lloyd"",""Mr. C. R. May"",""Miss. E. Lloyd"",""Mr. Watson"",""Mr. H. Jaff√©"",""Capt. Harcourt Rose"",""Mrs. Harcourt Rose"",""Maid"",""Mrs. Martoff"",""Dr. Sellerbeck"",""Mr. E. Ward"",""Mrs. E. Ward"",""Miss. Ward"",""Mr. J. G. Thorburn"",""Miss. Waterhouse"",""Miss. Manton"",""Mr. W. Pearce"",""Artine Effendy"",""Mr. Schanz"",""Princess Ratibor"",""Maid"",""Donna Mta di Sartirana"",""Maid"",""Duca di Sartirana"",""Miss. M. Blind"",""Mr. Joseph"",""Mrs. Joseph""]}"
1892-01-30,Hatasoo,"{""passengers"":[""Mr. Gortz"",""Mrs. Gortz"",""Mrs. Hornby"",""Miss James"",""Mr. Garstin"",""Mr. Gregson"",""Miss Gregson"",""Rev. Hugh B. Chapman"",""Manservant"",""Mr. E. D. Mc Carthy"",""Mrs. Mc Carthy"",""Mr. L. Lindau"",""Mrs. Lindau"",""Mr. Platt"",""Miss Platt"",""Major Martin"",""Mrs. Martin"",""Mr. Aitken"",""Mrs Aitken"",""Mr. Tatham"",""Mr. B. Frova"",""Count G. Gnlli"",""Countess Galli"",""Maid"",""Mrs. Colton Murray"",""Miss F. Dillingham"",""Mr. H. Norris"",""Miss Cameron"",""Miss Dowell"",""Miss J. E. Dowell"",""Mr. C. A. Cooper"",""Mr. F. H. Freese"",""Mrs. Freese"",""Mr. von Hartlieb"",""Mrs. Delmege"",""Mr. J. Varesi"",""Mr. Parmenides"",""Mrs. Parmenides""]}"
1892-02-02,Rameses The Great,"{""passengers"":[""Mr. Boardman"",""Mrs. Boardman"",""Miss F. Boardman"",""Miss M. Boardman"",""Mr. W. W. Phelps"",""Manservant"",""Mr. Pilkington"",""Mr. Pilkington jun."",""Miss Pilkington"",""Miss Pilkington"",""Miss Pilkington"",""Maid"",""Mr. P. H. Raws"",""Mrs. Rawson"",""Surgeon Major Foster"",""Mrs. Foster"",""Mr. Bohlen"",""Mr. A. Biddle"",""Mr. Brooke"",""Mrs. Brooke"",""Miss Brooke"",""Mr. Baker"",""Mrs"",""Baker"",""Mr. Boddie"",""Mrs. Boddie"",""Mr. C. A. Rose"",""Mrs. Rose"",""Mr. Rose jun."",""Mr. Welchman"",""Mrs. Welchman"",""Mr. J. R. Carter"",""Mrs. Carter"",""Mrs. Morgan"",""Miss Stoughton"",""Mr. J. Pollard"",""Miss E. Pollard"",""Miss C. Pollard"",""Mr. Whitehouse"",""Mrs. Whitehouse"",""Miss Whitehouse"",""Mrs. Eldridge"",""Mr. W. J. P. Mason"",""Mrs. Mason"",""Miss Sykes"",""Count F. Szopary"",""Count Sch√∂nborn"",""Miss C. Furniss"",""Mr. Schneider"",""Mrs. Schneider"",""Mr. R. W. Mc Kinlay"",""Mrs. Mc Kinlay"",""Miss H. M. Hargreaves"",""Mr. R. Hargons"",""Miss Sherwood"",""Miss Crotty"",""Mr. Gatehouse"",""Miss Gatehouse"",""Miss M. Davidson"",""Miss J. Davidson"",""Mr. J. H. Good"",""Mrs. Good"",""Master C. B. Good"",""Mr. Chas. Kaufmann"",""Mr. G. Baldwin"",""Mr. F. W. Hurd"",""Mr. H. Mulliken"",""Miss A. B. Hamlyn"",""Miss E. W. Hamlyn"",""Madame Morrand"",""Mr. Vavelberg"",""Mrs. Vavelberg"",""Miss Whetstone"",""Capt. Ford""]}"
1892-02-06,Amenartas,"{""passengers"":[""Mr. Holman Hunt"",""Mrs. Holman Hunt"",""Mr. Greg"",""Miss Greg"",""Miss Edmondson"",""Mr. P. Roscoe"",""Mr. Pepys"",""Mrs. Pepys"",""Miss Pepys"",""Mrs. W Gore"",""Miss W. Gore"",""Mr. Acland"",""Mrs. Acland"",""Miss Dunn"",""Miss Wemyss"",""Mr. Pennington"",""Mrs. Pennington"",""Mr. Evans"",""Mrs. Evans"",""Mr. Berry"",""Valet"",""Sir R. Abercrombie"",""Lady Abercrombie"",""Miss Southern"",""Miss Southern"",""Mr. Southern"",""Mr. H P. Swaine"",""Mr. Siebelist"",""Mr. Schneider"",""Mr. Wooder"",""Miss Cooke"",""Mr. Trouv√©"",""Mr. Grumel"",""Mr. Besville""]}"
1891-01-31,Hatasoo,"{""passengers"":[""Mr. A. H. Wausey"",""Mr. H. R Wausey"",""Mr. Bollans"",""General Mc Mahon"",""Mrs. Mc Mahon"",""Insp. Gen E. A. Hoyer"",""Mr. Schloss"",""Mrs. Schloss"",""Mr. R. Crompton"",""Mr. Cropper"",""Miss Cropper"",""Miss Musters"",""Miss A. Booth"",""Miss Brocklehurst"",""Miss Booth"",""Sir John Mc Neill"",""Admiral Fitzroy"",""Miss Meli"",""Mr. Cox"",""Mrs. Cox"",""Mr. Foucard"",""Mr. Foucard Jr."",""Mr. Buchanan"",""Mr. Buchanan"",""Mr. H. Wharton"",""Mrs. H. Wharton"",""Lt Col. Gore-Booth"",""Sig. Luigi de Mezzi"",""Dr. Angelo Marietti"",""Mr. Tebb"",""Mrs. Tebb"",""Miss Johnston"",""Miss E Johnston"",""Miss Jones"",""Lt Col Robinson""]}"
1892-02-20,Nefertari,"{""passengers"":[""Mr. Burton"",""Mrs. Burton"",""Dr. Berry"",""Mr. J. H. Engall"",""M. Roze de Villereau"",""Mr. Kirkwood"",""Mr. Stephen"",""Lord Clinton"",""Lady Clinton"",""Hon. Miss Trefusis"",""Hon. Miss Trefusis"",""Hon. Miss Trefusis"",""Mr. T. Karam"",""Mr. A. Karam"",""Mr. K. Sursock"",""Miss R. Karam"",""Miss L. Karam"",""Mr. W. B. Harvey"",""Lord Heytesbury"",""Lady Heytesbury"",""Maid"",""Mr. J. Madden"",""Mr. R. Mountney Jephson"",""Mrs. Mountney Jephson""]}"
1892-03-01,Rameses,"{""passengers"":[""Mr. R. W"",""Forbes"",""Mrs. Forbes"",""Miss H. E. Forbes"",""Mr. W. S. Potter"",""Mrs. Potter"",""Mr. J. B. James"",""Mr. Walter Ebbs"",""Miss Clough"",""Miss Corbutt"",""Mrs. Harris"",""Miss Harris"",""Mrs. James"",""Madame von de Kasteele"",""Mrs. Yates"",""Miss Yates"",""Mr. Doane"",""Mr. Grosvenor Atterbury"",""Mrs. Atterbury"",""Mr. Carstairs"",""Mrs. Carstairs"",""Miss L. H. Carstairs"",""Miss E. F. Carstairs"",""Miss M. Carstairs"",""Miss L. Carstairs"",""Master J. Carstairs"",""Mr. J. Sweeney"",""Mrs. Sweeney"",""Miss Sweeney"",""Mr. B. Brewster"",""Mrs. Brewster"",""Miss Brewster"",""Mr. G. S. Brewster"",""Maid""]}"
1892-03-05,Amenartas,"{""passengers"":[""Mr. J. C. Brown"",""Miss Brown"",""Mr. Marshall"",""Mons. Lelarge"",""Mr. Martin"",""Mr. Keeson"",""Mr. Richter"",""Mr. Ebeling"",""Miss Eisenthal"",""Count Reischach"",""Mr. Grosse"",""Mr. Redsloe"",""Mr. Hans"",""Mr. Trapp"",""Mr. Gunther"",""Mrs. Schaeling"",""Miss Ebeling"",""Mr. Gerlach"",""Mr. Schlesinger"",""Mrs. Schlesinger"",""Mr. Caswell"",""Mr. Yardley""]}"
1892-03-08,Mohammed Ali,"{""passengers"":[""Mr. Paterson"",""Mr. J. R. Tolar"",""Mr. Lord"",""Mrs. Lord"",""Judge Durham"",""Mr. C. A. Rich"",""Mrs. Rich"",""Mr. J. C. Dicken"",""Mr. Lawrence"",""Mr. R. Lawrence"",""Mr. Shaw"",""Mrs. Shaw"",""Master Shaw"",""Mr. Winans"",""Mrs. Winans"",""Mr. Ashton"",""Mr. Nelson"",""Mr. L√∂wenthal"",""Mr. Marsh"",""Miss Marsh"",""Hon. Mr. Dean"",""Mrs. Dean"",""Prof. Schwalbe"",""Prof. K√ºhne"",""Mr. D. J. Tata"",""Mr. J. H. Widdifield"",""Mr. V. Ball"",""Baron G. K√∂nigswarter"",""Valet"",""Mr. Mazourine"",""Mr. Billaudeau"",""Mr. Lamarche""]}"
1892-03-12,Cleopatra,"{""passengers"":[""Mr. Claypole"",""Mrs. Claypole"",""Dr. Withrow"",""Judge Carman"",""Mrs. Carman"",""Rev. Read"",""Rev. Rorke"",""Major Healy"",""Miss E. Laishley"",""Mr. Colin M. Smith"",""Col. Ffarington"",""Mrs. Ffarington"",""Herr Wrede"",""Valet"",""Geheimrath Quinke"",""Madame Quinke""]}"
