ship_date,ship_name,passenger_list
1890-02-11,Prince Abbas,"{""passengers"":[""Mr. J. Leake"",""Mr. Hacking"",""Mr. H. E. Falk"",""Miss Falk"",""Mrs. A. Pretty"",""Miss Mackenzie"",""Miss Tanner"",""Mr. A. Haigh"",""Mr. J. H. Sykes"",""Mr. A. Walker"",""Mr. C. E. Ridley"",""Mr. E. H Fison"",""Mr. W. Blair"",""Mrs. Blair"",""Rev. E. Maclure"",""Mrs. Maclure"",""Mr. Whitaker"",""Mrs. Whitaker"",""Mr. J. Kennedy"",""Mrs. Kennedy"",""Miss Stansfeld"",""Miss Stansfeld"",""Mr. Carpmael"",""Mrs. Carpmael"",""Mr. L. Holden"",""Mrs.Holden"",""Mr. Edgelow"",""Mrs. Edgelow"",""Mr. Foster"",""Mrs. Foster"",""Miss Agnew"",""Miss Shaffel"",""Miss Sugden"",""Miss Smith"",""Miss Helen Cosway"",""Miss Lucy Halliday"",""Miss Constance Halliday"",""Mr. Dobbelaer"",""Mr. Albert Le Moigne"",""Mrs. Le Moigne"",""Miss Cockshott"",""Mr. Lachèvre"",""Mr. G. W. Sweeney"",""Mrs. Sweeney"",""Mr. Todd"",""Rev. Allen"",""Mrs. Allen"",""Mrs. Lucien Carr"",""Miss Carr"",""Mrs. Caine"",""Miss L"",""M. Giles"",""Mr. Menini""]}"
1890-02-18,Rameses,"{""passengers"":[""Dr. Gilman"",""Mrs. Gilman"",""Miss Gilman"",""Miss Gilman"",""Mr. J. O. Norris"",""Mr. Morton Mac Michael"",""Mrs. Morton Mac Michael"",""Mr. H. C. Denniston"",""Miss Denniston"",""Mr. E. Macduff"",""Mrs. Macduff"",""Rev. Jacob Fry D. D."",""Rev. T. C. Billheimer"",""Mr. G. W. Bissell"",""Mr. H. E. Bilbrough"",""Miss Bacon"",""Miss Holmes"",""Mr. C. Boeninger"",""Mrs. Boeninger"",""Mr. R. von Rath"",""Mrs. von Rath"",""Mr. F. J. K. Cross"",""Major Hutchinson"",""Mr. Ward"",""Mrs. Ward"",""Miss Ward"",""Miss M. J. Roe"",""Mrs. F. A. Brown"",""Rev. W. R. Fletcher M. A."",""Mrs. Fletcher"",""Mr. Turner"",""Miss Turner"",""Mr. Fletcher"",""Mr. Robert Kolisch"",""Mr. Fletcher"",""Mrs. Fletcher"",""Mr. M. Sparke"",""Miss L. L. Oldroyd"",""Miss Sparke"",""Sir W. Farrer"",""Lady Farrer"",""Miss Farrer"",""Miss Farrer"",""Mr. H. Bright"",""Mr. T. Hollands"",""Mrs. A. Kennedy"",""Miss Kennedy"",""Rev. W. E. B. Gunn"",""Gen. Sir F. Grenfell"",""Lady Grenfell"",""Miss Grenfell"",""Miss Paget"",""Mr. Alexander"",""Mrs. Alexander"",""Mr. Clarke"",""Mr. Brook"",""Major Wingate"",""Major Maxwell"",""H. E. Rogers Pasha"",""Mr. W. W. Paxton"",""Miss C. D. Paxton"",""Rev. J. D. Paxton"",""Mrs. Paxton"",""Count Westphalen"",""Prince Schwarzenberg"",""Mr. T. S. Harrison"",""Mr Edwin von Rath""]}"
1890-02-20,Oonas,"{""passengers"":[""Mr. Findlay"",""Mrs. Findlay"",""Mr. Cunninghame"",""Mrs. Cunninghame"",""Miss Cunninghame"",""Mrs. Monins"",""Miss Chevallier"",""Miss Chevallier"",""Lady Wingate"",""Miss Wingate"",""Miss Wingate"",""Miss Samuelson"",""Mr. Macdonogh"",""Mr. Macdonogh"",""Mr. Torres"",""Lady Eyre Williams"",""Mrs. Eyre Williams"",""Col. Eyre Williams"",""Mr. Johnson"",""Mr. Leitner"",""Mrs. Leitner"",""Dr. Cohen""]}"
1890-02-05,Amenartas,"{""passengers"":[""Mr. Zambelletti"",""Mrs. Zambelletti"",""Miss Alice Foster"",""Miss Emmie P. Foster"",""Mrs. John S. Ward"",""Mrs. John S. Ward"",""Mr. John Seeley Ward"",""Mrs. Ward"",""Miss Hattie Ward"",""Miss Alice Ward"",""Mr. J. Cranage"",""Mrs. Cranage"",""Mr. S. Cranage"",""Miss Cranage"",""Mr. Connal"",""Miss Van Tassel"",""Mr. Beckford""]}"
1890-02-05,Mohammed Ali,"{""passengers"":[""Miss Pontifex"",""Miss E. Pontifex"",""Miss F. Pontifex"",""Mrs. Henry Jackson"",""Mr. Hamilton Jackson"",""Mr. F. F. Tuckett"",""Mr. A. E. Hudd"",""Mr. F. Lloyd Philips"",""Mrs. Philips"",""Mr. F. W. Haigh"",""Mrs Haigh"",""Baron d’Hunolstein"",""Baroness d’Hunolstein"",""Comte de Durfort"",""Dr. Jex-Blake"",""Mrs. Jex-Blake"",""Miss N. Jex-Blake"",""Miss C. Jex-Blake"",""Mr. C. A. Mitchell"",""Miss Buxton"",""Sir G. Stucley"",""Lady Stucley"",""Mr. Stucley"",""Mr. Barratt"",""Mrs. Barratt"",""Mr. S. Storey M. P."",""Miss Storey"",""Miss Ethel Storey"",""H E. Lewa Settle Pasha"",""Mrs. Settle""]}"
1890-02-06,Amosis,"{""passengers"":[""Mr. Walter Lee"",""Mrs. Lee"",""Mrs. Davenport"",""Mrs. Shepherd"",""Miss. Sheppard"",""Miss Sheppard"",""Mr. Sheppard"",""Mrs. Dunn"",""Mr. Booth"",""Mr. Ramond"",""Mrs. Ramond"",""Mrs. Pierce"",""Mr. A. Von Quast"",""Mr. W. Hillmann"",""Miss Rowe"",""Rev. A. M. Sharp"",""Mr. E. Phillips"",""Miss Morrieson"",""Miss Sharp"",""Mrs. Bates"",""Miss Bates"",""Miss Bates"",""Mr. Hutchinson"",""Mrs. Hutchinson"",""Miss Hutchinson"",""Mr. Maynard"",""Mrs. Maynard"",""Mr. Young"",""Mr. Wait"",""Mrs. Wait"",""Mr. Balch"",""Dr. Evans"",""Mr. R. Percy Gray."",""Mr. Jameson""]}"
1890-11-18,Sethi,"{""passengers"":[""Mrs. Seymour"",""Miss Seymour"",""Maid"",""Manservant"",""Mr. W. M. Rolph"",""Mrs. W. M. Rolph"",""Mr. F. W. Frampton"",""Mrs. F. W. Frampton"",""Miss Frampton"",""Miss Frampton"",""Mr. W. Jung"",""Miss Coxon"",""Miss T. Coxon"",""Mr. C. J. Moore"",""Mr. E. N. F. Fenwick"",""Mr. J. Harwood"",""Mrs. J. Harwood"",""Mr. F. J. Taylor"",""Mr. Sequitz"",""Mrs. Sequitz"",""Mr. M. Harris"",""Mr. D. Fisher"",""Mr. H. W. Steedman"",""Miss F. M. Steedman"",""Mr. V. Schmidt"",""Mr. T. A. Cook""]}"
1890-02-25,Tewfik,"{""passengers"":[""Mr. R. Christy"",""Mr. H. Christy"",""Mrs. Darby"",""Mr. A. Christy"",""Mrs. Cnristy"",""Mrs. Townsend"",""Miss Nicholis"",""Mr. Goffey"",""Mrs. Goffoy"",""Mr. Fraser"",""Miss Fraser"",""Mr. J. Wark"",""Mr. M. Keiller"",""Dr. Greig"",""Mr. C. C. Houghton"",""Mrs. Houghton"",""Miss Houghton"",""Miss Houghton"",""Miss Bush"",""Mrs. King"",""Miss King"",""Mr. Peter Rissmann"",""Mr. Bissmann"",""Mr. W. D. Bissmann"",""Rev. T. Watson"",""Mrs. Waston"",""Mr. Gottfried Merzbacher"",""Mr. David Hewes"",""Mrs. Hewes"",""Mrs. Morrison Duncan"",""Miss Morrison Duncan"",""Mr. H. F. Munson"",""Mrs. Munson"",""Miss Fielden"",""Miss S. Fielden"",""Miss R. Fielden"",""Mr. E. T. Putnam"",""Mrs. Putnam"",""Mr. Jennings"",""Mrs. Jennings"",""Miss Jennings"",""Miss Bull"",""Mr. Playfair"",""Mrs. Madden"",""Mrs. Roberts"",""H. E. Halton Pasha""]}"
1890-12-02,Rameses,"{""passengers"":[""Mr. G. R. Denison"",""General Rosset"",""Mrs. Rosset"",""Mr. Isam White"",""Mrs. Isam White"",""Mr. J. Bachmayer"",""Mr. R. S. Lamb"",""Mrs. R. S. Lamb"",""Mr. R. R. Bury"",""Miss Bury"",""Mr. shaw"",""Mrs. Shaw"",""Miss Shaw"",""Dr. R. A. Newman"",""Mrs. Newman"",""Mr. Chas. G. Homer"",""Mrs. C. G. Homer"",""Mr. W. Riley"",""Mr. Newman"",""Mrs. Newman"",""Mr. M. Harris"",""Mr. Bemrose"",""Mrs. Bemrose"",""Vice Adm Deinbard"",""Mrs. Deinbard"",""Mr. W. Turner"",""Mrs. Turner"",""Dr. Rothe"",""Mr. Hope Edwards"",""Mrs. Hope Edwards"",""Mr. A. Richter"",""Miss Chataway"",""Mr. S. B. Bliss"",""Mrs. S. B. Bliss"",""Mr. W. Cochrane"",""Mrs. W. Cochrane"",""Mr. Cecil Cochrane"",""Miss Cochrane""]}"
1890-12-10,Hatasoo,"{""passengers"":[""Major Piercy"",""Mrs. Piercy"",""Captain Farrer"",""Mr. Ridley"",""Mr. Phipps"",""Mr. H. L. Rosher"",""Mr. F. Fowke"",""Mrs. J. A. Welsh-Collins"",""Miss Jackson"",""Miss Jackson"",""Mr. J. M. Cook"",""Mr. W. E. Kingsford"",""Mr. Fortier"",""Mrs. Fortier"",""Mr. A. Henon"",""Mr. E. Ginoux"",""Mr. B. Yilboeuf"",""Dr. W. P. G. Graham"",""Dr. Sarruf"",""Mdme L. de Fontanges"",""Major Drage"",""Haicalis Bey"",""Barriere Bey""]}"
